Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)
15:39:32.552	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.135	-0.006	-0.956
15:39:32.552	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.128	-0.008	-0.959
15:39:32.552	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.12	-0.005	-0.964
15:39:32.552	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.125	-0.006	-0.958
15:39:32.553	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.132	-0.005	-0.96
15:39:32.553	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.126	-0.006	-0.959
15:39:32.553	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.122	-0.004	-0.958
15:39:32.553	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.126	-0.004	-0.962
15:39:32.601	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.132	-0.004	-0.96
15:39:32.601	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.128	-0.006	-0.959
15:39:32.601	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.123	-0.004	-0.961
15:39:32.601	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.126	-0.003	-0.963
15:39:32.601	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.131	-0.005	-0.961
15:39:32.602	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.129	-0.005	-0.962
15:39:32.602	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.122	-0.006	-0.958
15:39:32.602	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.126	-0.003	-0.959
15:39:32.642	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.134	-0.006	-0.959
15:39:32.642	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.128	-0.006	-0.96
15:39:32.642	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.124	-0.003	-0.957
15:39:32.642	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.125	-0.005	-0.96
15:39:32.643	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.132	-0.005	-0.968
15:39:32.643	f1:ad:dd:b2:b4:f3	2015-01-01 00:03:16.000	-0.136	-0.008	-0.961
