Time	Device name	Chip Time()	Acceleration X(g)	Acceleration Y(g)	Acceleration Z(g)
15:39:32.556	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.123	-0.052	-0.966
15:39:32.556	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.121	-0.052	-0.961
15:39:32.556	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.121	-0.052	-0.958
15:39:32.556	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.116	-0.051	-0.965
15:39:32.556	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.122	-0.055	-0.96
15:39:32.557	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.12	-0.052	-0.961
15:39:32.557	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.117	-0.053	-0.961
15:39:32.557	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.117	-0.054	-0.963
15:39:32.616	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.12	-0.054	-0.962
15:39:32.616	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.12	-0.049	-0.966
15:39:32.616	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.117	-0.052	-0.964
15:39:32.616	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.119	-0.053	-0.96
15:39:32.617	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.12	-0.054	-0.961
15:39:32.617	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.119	-0.052	-0.957
15:39:32.617	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.117	-0.051	-0.961
15:39:32.617	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.119	-0.053	-0.959
15:39:32.653	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.12	-0.054	-0.966
15:39:32.653	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.121	-0.05	-0.958
15:39:32.654	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.124	-0.051	-0.965
15:39:32.654	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.11	-0.052	-0.97
15:39:32.654	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.127	-0.054	-0.957
15:39:32.654	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.121	-0.051	-0.971
15:39:32.654	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.117	-0.054	-0.95
15:39:32.654	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.123	-0.051	-0.96
15:39:32.677	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.114	-0.053	-0.975
15:39:32.677	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.125	-0.056	-0.951
15:39:32.677	f5:3b:3f:1b:16:3e	2015-01-01 00:25:30.060	-0.124	-0.053	-0.963
